Game Turn, Player, Belief, Score
2, 21, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, -1.0
2, 21, BELIEF_GOD_OF_THE_SEA, -1.0
2, 21, BELIEF_GOD_OF_THE_OPEN_SKY, -1.0
2, 21, BELIEF_GODDESS_OF_THE_HUNT, -1.0
2, 21, BELIEF_STONE_CIRCLES, -1.0
2, 21, BELIEF_RELIGIOUS_IDOLS, -1.0
2, 21, BELIEF_GOD_OF_CRAFTSMEN, -1.0
2, 21, BELIEF_GODDESS_OF_FESTIVALS, -1.0
2, 21, BELIEF_GOD_OF_THE_FORGE, -1.0
2, 21, BELIEF_INITIATION_RITES, -1.0
2, 21, BELIEF_GOD_OF_HEALING, -1.0
2, 21, BELIEF_GOD_OF_WAR, -1.0
2, 21, BELIEF_FERTILITY_RITES, -1.0
2, 21, BELIEF_RELIGIOUS_SETTLEMENTS, -1.0
2, 21, BELIEF_CITY_PATRON_GODDESS, -1.0
2, 21, BELIEF_EARTH_GODDESS, -1.0
2, 21, BELIEF_DIVINE_INSPIRATION, -1.0
2, 21, BELIEF_FEED_THE_WORLD, -1.0
2, 21, BELIEF_JESUIT_EDUCATION, -1.0
2, 21, BELIEF_RELIQUARIES, -1.0
2, 21, BELIEF_RELIGIOUS_COMMUNITY, -1.0
2, 21, BELIEF_WORK_ETHIC, -1.0
2, 21, BELIEF_ZEN_MEDITATION, -1.0
2, 21, BELIEF_CHORAL_MUSIC, -1.0
2, 21, BELIEF_WARRIOR_MONKS, -1.0
2, 21, BELIEF_CATHEDRAL, -1.0
2, 21, BELIEF_GURDWARA, -1.0
2, 21, BELIEF_MEETING_HOUSE, -1.0
2, 21, BELIEF_MOSQUE, -1.0
2, 21, BELIEF_PAGODA, -1.0
2, 21, BELIEF_SYNAGOGUE, -1.0
2, 21, BELIEF_WAT, -1.0
2, 21, BELIEF_STUPA, -1.0
2, 21, BELIEF_DAR_E_MEHR, -1.0
2, 21, BELIEF_LAY_MINISTRY, -1.0
2, 21, BELIEF_PAPAL_PRIMACY, -1.0
2, 21, BELIEF_PILGRIMAGE, -1.0
2, 21, BELIEF_STEWARDSHIP, -1.0
2, 21, BELIEF_TITHE, -1.0
2, 21, BELIEF_WORLD_CHURCH, -1.0
2, 21, BELIEF_CROSS_CULTURAL_DIALOGUE, -1.0
2, 21, BELIEF_RELIGIOUS_UNITY, -1.0
2, 21, BELIEF_DEFENDER_OF_FAITH, -1.0
2, 21, BELIEF_HOLY_ORDER, -1.0
2, 21, BELIEF_ITINERANT_PREACHERS, -1.0
2, 21, BELIEF_JUST_WAR, -1.0
2, 21, BELIEF_MISSIONARY_ZEAL, -1.0
2, 21, BELIEF_MONASTIC_ISOLATION, -1.0
2, 21, BELIEF_SCRIPTURE, -1.0
2, 21, BELIEF_RELIGIOUS_COLONIZATION, -1.0
2, 21, BELIEF_GODDESS_OF_FIRE, -1.0
2, 21, BELIEF_SACRED_PLACES, -1.0
2, 21, BELIEF_HOLY_WATERS, -1.0
2, 21, BELIEF_ZYL_LBM_MOON_GODDESS, -1.0
2, 21, BELIEF_ZYL_LBM_COMMERCE_GODDESS, -1.0
2, 21, BELIEF_ZYL_LBM_SUN_GOD, -1.0
2, 21, BELIEF_ZYL_LBM_ORAL_TRADITION, -1.0
2, 21, BELIEF_ZYL_LBM_EARTH_SPIRITS, -1.0
2, 21, BELIEF_ZYL_LBM_GARDEN_GODDESS, -1.0
2, 21, BELIEF_ZYL_LBM_WEALTH_GODDESS, -1.0
2, 21, BELIEF_ZYL_LBM_TRADE_GOD, -1.0
2, 21, BELIEF_ZYL_LBM_PATH_OF_CONQUEST, -1.0
2, 21, BELIEF_ZYL_LBM_SACRED_INSCRIPTIONS, -1.0
2, 21, BELIEF_ZYL_LBM_GRANARY_GOD, -1.0
2, 21, BELIEF_ZYL_LBM_REEF_PARADISE, -1.0
2, 21, BELIEF_ZYL_LBM_SIREN, -1.0
2, 21, BELIEF_ZYL_DRUID, -1.0
2, 62, BELIEF_DANCE_OF_THE_AURORA, -1.0
2, 62, BELIEF_DESERT_FOLKLORE, -1.0
2, 62, BELIEF_SACRED_PATH, -1.0
2, 62, BELIEF_RIVER_GODDESS, -1.0
2, 62, BELIEF_MONUMENT_TO_THE_GODS, -1.0
2, 62, BELIEF_DIVINE_SPARK, -1.0
2, 62, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, -1.0
2, 62, BELIEF_GOD_OF_THE_SEA, -1.0
2, 62, BELIEF_GOD_OF_THE_OPEN_SKY, -1.0
2, 62, BELIEF_GODDESS_OF_THE_HUNT, -1.0
2, 62, BELIEF_STONE_CIRCLES, -1.0
2, 62, BELIEF_RELIGIOUS_IDOLS, -1.0
2, 62, BELIEF_GOD_OF_CRAFTSMEN, -1.0
2, 62, BELIEF_GODDESS_OF_FESTIVALS, -1.0
2, 62, BELIEF_GOD_OF_THE_FORGE, -1.0
2, 62, BELIEF_INITIATION_RITES, -1.0
2, 62, BELIEF_GOD_OF_HEALING, -1.0
2, 62, BELIEF_GOD_OF_WAR, -1.0
2, 62, BELIEF_FERTILITY_RITES, -1.0
2, 62, BELIEF_RELIGIOUS_SETTLEMENTS, -1.0
2, 62, BELIEF_CITY_PATRON_GODDESS, -1.0
2, 62, BELIEF_EARTH_GODDESS, -1.0
2, 62, BELIEF_DIVINE_INSPIRATION, -1.0
2, 62, BELIEF_FEED_THE_WORLD, -1.0
2, 62, BELIEF_JESUIT_EDUCATION, -1.0
2, 62, BELIEF_RELIQUARIES, -1.0
2, 62, BELIEF_RELIGIOUS_COMMUNITY, -1.0
2, 62, BELIEF_WORK_ETHIC, -1.0
2, 62, BELIEF_ZEN_MEDITATION, -1.0
2, 62, BELIEF_CHORAL_MUSIC, -1.0
2, 62, BELIEF_WARRIOR_MONKS, -1.0
2, 62, BELIEF_CATHEDRAL, -1.0
2, 62, BELIEF_GURDWARA, -1.0
2, 62, BELIEF_MEETING_HOUSE, -1.0
2, 62, BELIEF_MOSQUE, -1.0
2, 62, BELIEF_PAGODA, -1.0
2, 62, BELIEF_SYNAGOGUE, -1.0
2, 62, BELIEF_WAT, -1.0
2, 62, BELIEF_STUPA, -1.0
2, 62, BELIEF_DAR_E_MEHR, -1.0
2, 62, BELIEF_LAY_MINISTRY, -1.0
2, 62, BELIEF_PAPAL_PRIMACY, -1.0
2, 62, BELIEF_PILGRIMAGE, -1.0
2, 62, BELIEF_STEWARDSHIP, -1.0
2, 62, BELIEF_TITHE, -1.0
2, 62, BELIEF_WORLD_CHURCH, -1.0
2, 62, BELIEF_CROSS_CULTURAL_DIALOGUE, -1.0
2, 62, BELIEF_RELIGIOUS_UNITY, -1.0
2, 62, BELIEF_DEFENDER_OF_FAITH, -1.0
2, 62, BELIEF_HOLY_ORDER, -1.0
2, 62, BELIEF_ITINERANT_PREACHERS, -1.0
2, 62, BELIEF_JUST_WAR, -1.0
2, 62, BELIEF_MISSIONARY_ZEAL, -1.0
2, 62, BELIEF_MONASTIC_ISOLATION, -1.0
2, 62, BELIEF_SCRIPTURE, -1.0
2, 62, BELIEF_RELIGIOUS_COLONIZATION, -1.0
2, 62, BELIEF_GODDESS_OF_FIRE, -1.0
2, 62, BELIEF_SACRED_PLACES, -1.0
2, 62, BELIEF_HOLY_WATERS, -1.0
2, 62, BELIEF_ZYL_LBM_MOON_GODDESS, -1.0
2, 62, BELIEF_ZYL_LBM_COMMERCE_GODDESS, -1.0
2, 62, BELIEF_ZYL_LBM_SUN_GOD, -1.0
2, 62, BELIEF_ZYL_LBM_ORAL_TRADITION, -1.0
2, 62, BELIEF_ZYL_LBM_EARTH_SPIRITS, -1.0
2, 62, BELIEF_ZYL_LBM_GARDEN_GODDESS, -1.0
2, 62, BELIEF_ZYL_LBM_WEALTH_GODDESS, -1.0
2, 62, BELIEF_ZYL_LBM_TRADE_GOD, -1.0
2, 62, BELIEF_ZYL_LBM_PATH_OF_CONQUEST, -1.0
2, 62, BELIEF_ZYL_LBM_SACRED_INSCRIPTIONS, -1.0
2, 62, BELIEF_ZYL_LBM_GRANARY_GOD, -1.0
2, 62, BELIEF_ZYL_LBM_REEF_PARADISE, -1.0
2, 62, BELIEF_ZYL_LBM_SIREN, -1.0
2, 62, BELIEF_ZYL_DRUID, -1.0
2, 63, BELIEF_DANCE_OF_THE_AURORA, -1.0
2, 63, BELIEF_DESERT_FOLKLORE, -1.0
2, 63, BELIEF_SACRED_PATH, -1.0
2, 63, BELIEF_RIVER_GODDESS, -1.0
2, 63, BELIEF_MONUMENT_TO_THE_GODS, -1.0
2, 63, BELIEF_DIVINE_SPARK, -1.0
2, 63, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, -1.0
2, 63, BELIEF_GOD_OF_THE_SEA, -1.0
2, 63, BELIEF_GOD_OF_THE_OPEN_SKY, -1.0
2, 63, BELIEF_GODDESS_OF_THE_HUNT, -1.0
2, 63, BELIEF_STONE_CIRCLES, -1.0
2, 63, BELIEF_RELIGIOUS_IDOLS, -1.0
2, 63, BELIEF_GOD_OF_CRAFTSMEN, -1.0
2, 63, BELIEF_GODDESS_OF_FESTIVALS, -1.0
2, 63, BELIEF_GOD_OF_THE_FORGE, -1.0
2, 63, BELIEF_INITIATION_RITES, -1.0
2, 63, BELIEF_GOD_OF_HEALING, -1.0
2, 63, BELIEF_GOD_OF_WAR, -1.0
2, 63, BELIEF_FERTILITY_RITES, -1.0
2, 63, BELIEF_RELIGIOUS_SETTLEMENTS, -1.0
2, 63, BELIEF_CITY_PATRON_GODDESS, -1.0
2, 63, BELIEF_EARTH_GODDESS, -1.0
2, 63, BELIEF_DIVINE_INSPIRATION, -1.0
2, 63, BELIEF_FEED_THE_WORLD, -1.0
2, 63, BELIEF_JESUIT_EDUCATION, -1.0
2, 63, BELIEF_RELIQUARIES, -1.0
2, 63, BELIEF_RELIGIOUS_COMMUNITY, -1.0
2, 63, BELIEF_WORK_ETHIC, -1.0
2, 63, BELIEF_ZEN_MEDITATION, -1.0
2, 63, BELIEF_CHORAL_MUSIC, -1.0
2, 63, BELIEF_WARRIOR_MONKS, -1.0
2, 63, BELIEF_CATHEDRAL, -1.0
2, 63, BELIEF_GURDWARA, -1.0
2, 63, BELIEF_MEETING_HOUSE, -1.0
2, 63, BELIEF_MOSQUE, -1.0
2, 63, BELIEF_PAGODA, -1.0
2, 63, BELIEF_SYNAGOGUE, -1.0
2, 63, BELIEF_WAT, -1.0
2, 63, BELIEF_STUPA, -1.0
2, 63, BELIEF_DAR_E_MEHR, -1.0
2, 63, BELIEF_LAY_MINISTRY, -1.0
2, 63, BELIEF_PAPAL_PRIMACY, -1.0
2, 63, BELIEF_PILGRIMAGE, -1.0
2, 63, BELIEF_STEWARDSHIP, -1.0
2, 63, BELIEF_TITHE, -1.0
2, 63, BELIEF_WORLD_CHURCH, -1.0
2, 63, BELIEF_CROSS_CULTURAL_DIALOGUE, -1.0
2, 63, BELIEF_RELIGIOUS_UNITY, -1.0
2, 63, BELIEF_DEFENDER_OF_FAITH, -1.0
2, 63, BELIEF_HOLY_ORDER, -1.0
2, 63, BELIEF_ITINERANT_PREACHERS, -1.0
2, 63, BELIEF_JUST_WAR, -1.0
2, 63, BELIEF_MISSIONARY_ZEAL, -1.0
2, 63, BELIEF_MONASTIC_ISOLATION, -1.0
2, 63, BELIEF_SCRIPTURE, -1.0
2, 63, BELIEF_RELIGIOUS_COLONIZATION, -1.0
2, 63, BELIEF_GODDESS_OF_FIRE, -1.0
2, 63, BELIEF_SACRED_PLACES, -1.0
2, 63, BELIEF_HOLY_WATERS, -1.0
2, 63, BELIEF_ZYL_LBM_MOON_GODDESS, -1.0
2, 63, BELIEF_ZYL_LBM_COMMERCE_GODDESS, -1.0
2, 63, BELIEF_ZYL_LBM_SUN_GOD, -1.0
2, 63, BELIEF_ZYL_LBM_ORAL_TRADITION, -1.0
2, 63, BELIEF_ZYL_LBM_EARTH_SPIRITS, -1.0
2, 63, BELIEF_ZYL_LBM_GARDEN_GODDESS, -1.0
2, 63, BELIEF_ZYL_LBM_WEALTH_GODDESS, -1.0
2, 63, BELIEF_ZYL_LBM_TRADE_GOD, -1.0
2, 63, BELIEF_ZYL_LBM_PATH_OF_CONQUEST, -1.0
2, 63, BELIEF_ZYL_LBM_SACRED_INSCRIPTIONS, -1.0
2, 63, BELIEF_ZYL_LBM_GRANARY_GOD, -1.0
2, 63, BELIEF_ZYL_LBM_REEF_PARADISE, -1.0
2, 63, BELIEF_ZYL_LBM_SIREN, -1.0
2, 63, BELIEF_ZYL_DRUID, -1.0
2, 0, BELIEF_DANCE_OF_THE_AURORA, 0.0
2, 0, BELIEF_DESERT_FOLKLORE, 0.0
2, 0, BELIEF_SACRED_PATH, 34.0
2, 0, BELIEF_RIVER_GODDESS, 0.0
2, 0, BELIEF_MONUMENT_TO_THE_GODS, 0.0
2, 0, BELIEF_DIVINE_SPARK, 10.0
2, 0, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, 0.0
2, 0, BELIEF_GOD_OF_THE_SEA, 0.0
2, 0, BELIEF_GOD_OF_THE_OPEN_SKY, 0.0
2, 0, BELIEF_GODDESS_OF_THE_HUNT, 0.0
2, 0, BELIEF_STONE_CIRCLES, 0.0
2, 0, BELIEF_RELIGIOUS_IDOLS, 0.0
2, 0, BELIEF_GOD_OF_CRAFTSMEN, 0.0
2, 0, BELIEF_GODDESS_OF_FESTIVALS, 0.0
2, 0, BELIEF_GOD_OF_THE_FORGE, 25.0
2, 0, BELIEF_INITIATION_RITES, 198.0
2, 0, BELIEF_GOD_OF_HEALING, 0.0
2, 0, BELIEF_GOD_OF_WAR, 0.0
2, 0, BELIEF_FERTILITY_RITES, 0.0
2, 0, BELIEF_RELIGIOUS_SETTLEMENTS, 8.0
2, 0, BELIEF_CITY_PATRON_GODDESS, 0.0
2, 0, BELIEF_EARTH_GODDESS, 11.0
2, 0, BELIEF_DIVINE_INSPIRATION, 11.0
2, 0, BELIEF_FEED_THE_WORLD, 92.0
2, 0, BELIEF_JESUIT_EDUCATION, 11.0
2, 0, BELIEF_RELIQUARIES, 11.0
2, 0, BELIEF_RELIGIOUS_COMMUNITY, 11.0
2, 0, BELIEF_WORK_ETHIC, 11.0
2, 0, BELIEF_ZEN_MEDITATION, 11.0
2, 0, BELIEF_CHORAL_MUSIC, 86.0
2, 0, BELIEF_WARRIOR_MONKS, 12.0
2, 0, BELIEF_CATHEDRAL, 575.0
2, 0, BELIEF_GURDWARA, 669.0
2, 0, BELIEF_MEETING_HOUSE, 686.0
2, 0, BELIEF_MOSQUE, 294.0
2, 0, BELIEF_PAGODA, 268.0
2, 0, BELIEF_SYNAGOGUE, 772.0
2, 0, BELIEF_WAT, 634.0
2, 0, BELIEF_STUPA, 308.0
2, 0, BELIEF_DAR_E_MEHR, 634.0
2, 0, BELIEF_LAY_MINISTRY, 0.0
2, 0, BELIEF_PAPAL_PRIMACY, 0.0
2, 0, BELIEF_PILGRIMAGE, 0.0
2, 0, BELIEF_STEWARDSHIP, 0.0
2, 0, BELIEF_TITHE, 0.0
2, 0, BELIEF_WORLD_CHURCH, 0.0
2, 0, BELIEF_CROSS_CULTURAL_DIALOGUE, 0.0
2, 0, BELIEF_RELIGIOUS_UNITY, 0.0
2, 0, BELIEF_DEFENDER_OF_FAITH, 0.0
2, 0, BELIEF_HOLY_ORDER, 0.0
2, 0, BELIEF_ITINERANT_PREACHERS, 0.0
2, 0, BELIEF_JUST_WAR, 0.0
2, 0, BELIEF_MISSIONARY_ZEAL, 12.0
2, 0, BELIEF_MONASTIC_ISOLATION, 0.0
2, 0, BELIEF_SCRIPTURE, 0.0
2, 0, BELIEF_RELIGIOUS_COLONIZATION, 0.0
2, 0, BELIEF_GODDESS_OF_FIRE, 0.0
2, 0, BELIEF_SACRED_PLACES, 0.0
2, 0, BELIEF_HOLY_WATERS, 0.0
2, 0, BELIEF_ZYL_LBM_MOON_GODDESS, 0.0
2, 0, BELIEF_ZYL_LBM_COMMERCE_GODDESS, 0.0
2, 0, BELIEF_ZYL_LBM_SUN_GOD, 0.0
2, 0, BELIEF_ZYL_LBM_ORAL_TRADITION, 0.0
2, 0, BELIEF_ZYL_LBM_EARTH_SPIRITS, 0.0
2, 0, BELIEF_ZYL_LBM_GARDEN_GODDESS, 0.0
2, 0, BELIEF_ZYL_LBM_WEALTH_GODDESS, 22.0
2, 0, BELIEF_ZYL_LBM_TRADE_GOD, 0.0
2, 0, BELIEF_ZYL_LBM_PATH_OF_CONQUEST, 0.0
2, 0, BELIEF_ZYL_LBM_SACRED_INSCRIPTIONS, 0.0
2, 0, BELIEF_ZYL_LBM_GRANARY_GOD, 0.0
2, 0, BELIEF_ZYL_LBM_REEF_PARADISE, 0.0
2, 0, BELIEF_ZYL_LBM_SIREN, 0.0
2, 0, BELIEF_ZYL_DRUID, 34.0
2, 1, BELIEF_DANCE_OF_THE_AURORA, 0.0
2, 1, BELIEF_DESERT_FOLKLORE, 0.0
2, 1, BELIEF_SACRED_PATH, 34.0
2, 1, BELIEF_RIVER_GODDESS, 0.0
2, 1, BELIEF_MONUMENT_TO_THE_GODS, 0.0
2, 1, BELIEF_DIVINE_SPARK, 22.0
2, 1, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, 0.0
2, 1, BELIEF_GOD_OF_THE_SEA, 0.0
2, 1, BELIEF_GOD_OF_THE_OPEN_SKY, 0.0
2, 1, BELIEF_GODDESS_OF_THE_HUNT, 0.0
2, 1, BELIEF_STONE_CIRCLES, 0.0
2, 1, BELIEF_RELIGIOUS_IDOLS, 0.0
2, 1, BELIEF_GOD_OF_CRAFTSMEN, 0.0
2, 1, BELIEF_GODDESS_OF_FESTIVALS, 0.0
2, 1, BELIEF_GOD_OF_THE_FORGE, 29.0
2, 1, BELIEF_INITIATION_RITES, 198.0
2, 1, BELIEF_GOD_OF_HEALING, 0.0
2, 1, BELIEF_GOD_OF_WAR, 0.0
2, 1, BELIEF_FERTILITY_RITES, 0.0
2, 1, BELIEF_RELIGIOUS_SETTLEMENTS, 14.0
2, 1, BELIEF_CITY_PATRON_GODDESS, 0.0
2, 1, BELIEF_EARTH_GODDESS, 66.0
2, 1, BELIEF_DIVINE_INSPIRATION, 11.0
2, 1, BELIEF_FEED_THE_WORLD, 78.0
2, 1, BELIEF_JESUIT_EDUCATION, 11.0
2, 1, BELIEF_RELIQUARIES, 11.0
2, 1, BELIEF_RELIGIOUS_COMMUNITY, 11.0
2, 1, BELIEF_WORK_ETHIC, 11.0
2, 1, BELIEF_ZEN_MEDITATION, 11.0
2, 1, BELIEF_CHORAL_MUSIC, 86.0
2, 1, BELIEF_WARRIOR_MONKS, 12.0
2, 1, BELIEF_CATHEDRAL, 575.0
2, 1, BELIEF_GURDWARA, 601.0
2, 1, BELIEF_MEETING_HOUSE, 686.0
2, 1, BELIEF_MOSQUE, 294.0
2, 1, BELIEF_PAGODA, 268.0
2, 1, BELIEF_SYNAGOGUE, 772.0
2, 1, BELIEF_WAT, 634.0
2, 1, BELIEF_STUPA, 310.0
2, 1, BELIEF_DAR_E_MEHR, 634.0
2, 1, BELIEF_LAY_MINISTRY, 0.0
2, 1, BELIEF_PAPAL_PRIMACY, 0.0
2, 1, BELIEF_PILGRIMAGE, 0.0
2, 1, BELIEF_STEWARDSHIP, 0.0
2, 1, BELIEF_TITHE, 0.0
2, 1, BELIEF_WORLD_CHURCH, 0.0
2, 1, BELIEF_CROSS_CULTURAL_DIALOGUE, 0.0
2, 1, BELIEF_RELIGIOUS_UNITY, 0.0
2, 1, BELIEF_DEFENDER_OF_FAITH, 0.0
2, 1, BELIEF_HOLY_ORDER, 0.0
2, 1, BELIEF_ITINERANT_PREACHERS, 0.0
2, 1, BELIEF_JUST_WAR, 0.0
2, 1, BELIEF_MISSIONARY_ZEAL, 12.0
2, 1, BELIEF_MONASTIC_ISOLATION, 0.0
2, 1, BELIEF_SCRIPTURE, 0.0
2, 1, BELIEF_RELIGIOUS_COLONIZATION, 0.0
2, 1, BELIEF_GODDESS_OF_FIRE, 0.0
2, 1, BELIEF_SACRED_PLACES, 0.0
2, 1, BELIEF_HOLY_WATERS, 0.0
2, 1, BELIEF_ZYL_LBM_MOON_GODDESS, 0.0
2, 1, BELIEF_ZYL_LBM_COMMERCE_GODDESS, 0.0
2, 1, BELIEF_ZYL_LBM_SUN_GOD, 0.0
2, 1, BELIEF_ZYL_LBM_ORAL_TRADITION, 0.0
2, 1, BELIEF_ZYL_LBM_EARTH_SPIRITS, 0.0
2, 1, BELIEF_ZYL_LBM_GARDEN_GODDESS, 0.0
2, 1, BELIEF_ZYL_LBM_WEALTH_GODDESS, 11.0
2, 1, BELIEF_ZYL_LBM_TRADE_GOD, 0.0
2, 1, BELIEF_ZYL_LBM_PATH_OF_CONQUEST, 0.0
2, 1, BELIEF_ZYL_LBM_SACRED_INSCRIPTIONS, 0.0
2, 1, BELIEF_ZYL_LBM_GRANARY_GOD, 0.0
2, 1, BELIEF_ZYL_LBM_REEF_PARADISE, 0.0
2, 1, BELIEF_ZYL_LBM_SIREN, 0.0
2, 1, BELIEF_ZYL_DRUID, 223.0
2, 2, BELIEF_DANCE_OF_THE_AURORA, 0.0
2, 2, BELIEF_DESERT_FOLKLORE, 0.0
2, 2, BELIEF_SACRED_PATH, 0.0
2, 2, BELIEF_RIVER_GODDESS, 0.0
2, 2, BELIEF_MONUMENT_TO_THE_GODS, 0.0
2, 2, BELIEF_DIVINE_SPARK, 10.0
2, 2, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, 0.0
2, 2, BELIEF_GOD_OF_THE_SEA, 0.0
2, 2, BELIEF_GOD_OF_THE_OPEN_SKY, 0.0
2, 2, BELIEF_GODDESS_OF_THE_HUNT, 0.0
2, 2, BELIEF_STONE_CIRCLES, 0.0
2, 2, BELIEF_RELIGIOUS_IDOLS, 0.0
2, 2, BELIEF_GOD_OF_CRAFTSMEN, 0.0
2, 2, BELIEF_GODDESS_OF_FESTIVALS, 0.0
2, 2, BELIEF_GOD_OF_THE_FORGE, 25.0
2, 2, BELIEF_INITIATION_RITES, 198.0
2, 2, BELIEF_GOD_OF_HEALING, 0.0
2, 2, BELIEF_GOD_OF_WAR, 0.0
2, 2, BELIEF_FERTILITY_RITES, 11.0
2, 2, BELIEF_RELIGIOUS_SETTLEMENTS, 8.0
2, 2, BELIEF_CITY_PATRON_GODDESS, 0.0
2, 2, BELIEF_EARTH_GODDESS, 44.0
2, 2, BELIEF_DIVINE_INSPIRATION, 11.0
2, 2, BELIEF_FEED_THE_WORLD, 78.0
2, 2, BELIEF_JESUIT_EDUCATION, 11.0
2, 2, BELIEF_RELIQUARIES, 11.0
2, 2, BELIEF_RELIGIOUS_COMMUNITY, 11.0
2, 2, BELIEF_WORK_ETHIC, 11.0
2, 2, BELIEF_ZEN_MEDITATION, 11.0
2, 2, BELIEF_CHORAL_MUSIC, 86.0
2, 2, BELIEF_WARRIOR_MONKS, 12.0
2, 2, BELIEF_CATHEDRAL, 575.0
2, 2, BELIEF_GURDWARA, 601.0
2, 2, BELIEF_MEETING_HOUSE, 686.0
2, 2, BELIEF_MOSQUE, 294.0
2, 2, BELIEF_PAGODA, 268.0
2, 2, BELIEF_SYNAGOGUE, 772.0
2, 2, BELIEF_WAT, 634.0
2, 2, BELIEF_STUPA, 307.0
2, 2, BELIEF_DAR_E_MEHR, 634.0
2, 2, BELIEF_LAY_MINISTRY, 0.0
2, 2, BELIEF_PAPAL_PRIMACY, 0.0
2, 2, BELIEF_PILGRIMAGE, 0.0
2, 2, BELIEF_STEWARDSHIP, 0.0
2, 2, BELIEF_TITHE, 0.0
2, 2, BELIEF_WORLD_CHURCH, 0.0
2, 2, BELIEF_CROSS_CULTURAL_DIALOGUE, 0.0
2, 2, BELIEF_RELIGIOUS_UNITY, 0.0
2, 2, BELIEF_DEFENDER_OF_FAITH, 0.0
2, 2, BELIEF_HOLY_ORDER, 0.0
2, 2, BELIEF_ITINERANT_PREACHERS, 0.0
2, 2, BELIEF_JUST_WAR, 0.0
2, 2, BELIEF_MISSIONARY_ZEAL, 12.0
2, 2, BELIEF_MONASTIC_ISOLATION, 0.0
2, 2, BELIEF_SCRIPTURE, 0.0
2, 2, BELIEF_RELIGIOUS_COLONIZATION, 0.0
2, 2, BELIEF_GODDESS_OF_FIRE, 0.0
2, 2, BELIEF_SACRED_PLACES, 0.0
2, 2, BELIEF_HOLY_WATERS, 0.0
2, 2, BELIEF_ZYL_LBM_MOON_GODDESS, 0.0
2, 2, BELIEF_ZYL_LBM_COMMERCE_GODDESS, 0.0
2, 2, BELIEF_ZYL_LBM_SUN_GOD, 22.0
2, 2, BELIEF_ZYL_LBM_ORAL_TRADITION, 0.0
2, 2, BELIEF_ZYL_LBM_EARTH_SPIRITS, 0.0
2, 2, BELIEF_ZYL_LBM_GARDEN_GODDESS, 0.0
2, 2, BELIEF_ZYL_LBM_WEALTH_GODDESS, 11.0
2, 2, BELIEF_ZYL_LBM_TRADE_GOD, 0.0
2, 2, BELIEF_ZYL_LBM_PATH_OF_CONQUEST, 0.0
2, 2, BELIEF_ZYL_LBM_SACRED_INSCRIPTIONS, 0.0
2, 2, BELIEF_ZYL_LBM_GRANARY_GOD, 0.0
2, 2, BELIEF_ZYL_LBM_REEF_PARADISE, 0.0
2, 2, BELIEF_ZYL_LBM_SIREN, 0.0
2, 2, BELIEF_ZYL_DRUID, 68.0
2, 3, BELIEF_DANCE_OF_THE_AURORA, 0.0
2, 3, BELIEF_DESERT_FOLKLORE, 0.0
2, 3, BELIEF_SACRED_PATH, 0.0
2, 3, BELIEF_RIVER_GODDESS, 0.0
2, 3, BELIEF_MONUMENT_TO_THE_GODS, 0.0
2, 3, BELIEF_DIVINE_SPARK, 10.0
2, 3, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, 0.0
2, 3, BELIEF_GOD_OF_THE_SEA, 0.0
2, 3, BELIEF_GOD_OF_THE_OPEN_SKY, 0.0
2, 3, BELIEF_GODDESS_OF_THE_HUNT, 0.0
2, 3, BELIEF_STONE_CIRCLES, 0.0
2, 3, BELIEF_RELIGIOUS_IDOLS, 0.0
2, 3, BELIEF_GOD_OF_CRAFTSMEN, 0.0
2, 3, BELIEF_GODDESS_OF_FESTIVALS, 0.0
2, 3, BELIEF_GOD_OF_THE_FORGE, 21.0
2, 3, BELIEF_INITIATION_RITES, 203.0
2, 3, BELIEF_GOD_OF_HEALING, 0.0
2, 3, BELIEF_GOD_OF_WAR, 0.0
2, 3, BELIEF_FERTILITY_RITES, 11.0
2, 3, BELIEF_RELIGIOUS_SETTLEMENTS, 8.0
2, 3, BELIEF_CITY_PATRON_GODDESS, 0.0
2, 3, BELIEF_EARTH_GODDESS, 0.0
2, 3, BELIEF_DIVINE_INSPIRATION, 11.0
2, 3, BELIEF_FEED_THE_WORLD, 78.0
2, 3, BELIEF_JESUIT_EDUCATION, 11.0
2, 3, BELIEF_RELIQUARIES, 11.0
2, 3, BELIEF_RELIGIOUS_COMMUNITY, 11.0
2, 3, BELIEF_WORK_ETHIC, 11.0
2, 3, BELIEF_ZEN_MEDITATION, 11.0
2, 3, BELIEF_CHORAL_MUSIC, 86.0
2, 3, BELIEF_WARRIOR_MONKS, 12.0
2, 3, BELIEF_CATHEDRAL, 575.0
2, 3, BELIEF_GURDWARA, 601.0
2, 3, BELIEF_MEETING_HOUSE, 686.0
2, 3, BELIEF_MOSQUE, 294.0
2, 3, BELIEF_PAGODA, 268.0
2, 3, BELIEF_SYNAGOGUE, 772.0
2, 3, BELIEF_WAT, 634.0
2, 3, BELIEF_STUPA, 280.0
2, 3, BELIEF_DAR_E_MEHR, 634.0
2, 3, BELIEF_LAY_MINISTRY, 0.0
